sseqid,count
Seq_349,63
Seq_347,63
Seq_359,63
Seq_358,63
Seq_362,63
Seq_366,63
Seq_348,63
Seq_346,63
Seq_341,63
Seq_344,63
Seq_343,63
Seq_354,63
Seq_353,63
Seq_352,63
Seq_351,63
Seq_350,63
Seq_361,63
Seq_360,63
Seq_365,63
Seq_364,63
Seq_363,63
Seq_340,63
Seq_339,63
Seq_342,63
Seq_338,63
Seq_337,63
Seq_336,63
Seq_335,63
Seq_334,63
Seq_356,63
Seq_355,63
Seq_357,63
Seq_324,63
Seq_323,63
Seq_322,63
Seq_327,63
Seq_326,63
Seq_325,63
Seq_329,63
Seq_328,63
Seq_321,63
Seq_320,63
Seq_319,63
Seq_315,63
Seq_331,63
Seq_332,63
Seq_330,63
Seq_314,63
Seq_318,63
Seq_317,63
Seq_308,63
Seq_333,63
Seq_313,63
Seq_311,63
Seq_310,63
Seq_309,63
Seq_305,63
Seq_307,63
Seq_306,63
Seq_316,63
Seq_312,63
Seq_190,63
Seq_204,63
Seq_203,63
Seq_206,63
Seq_205,63
Seq_143,63
Seq_199,63
Seq_198,63
Seq_197,63
Seq_178,63
Seq_202,63
Seq_201,63
Seq_193,63
Seq_192,63
Seq_191,63
Seq_181,63
Seq_180,63
Seq_179,63
Seq_196,63
Seq_195,63
Seq_194,63
Seq_200,63
Seq_183,63
Seq_182,63
Seq_186,63
Seq_185,63
Seq_184,63
Seq_189,63
Seq_188,63
Seq_187,63
Seq_154,63
Seq_153,63
Seq_176,63
Seq_175,63
Seq_174,63
Seq_173,63
Seq_172,63
Seq_177,63
Seq_171,63
Seq_170,63
Seq_148,63
Seq_147,63
Seq_146,63
Seq_151,63
Seq_150,63
Seq_155,63
Seq_163,63
Seq_162,63
Seq_161,63
Seq_160,63
Seq_169,63
Seq_168,63
Seq_167,63
Seq_166,63
Seq_157,63
Seq_156,63
Seq_145,63
Seq_158,63
Seq_149,63
Seq_152,63
Seq_165,63
Seq_164,63
Seq_144,63
Seq_159,63
Seq_345,63
Seq_367,63
Seq_304,63
Seq_111,62
Seq_110,62
Seq_115,62
Seq_121,62
Seq_120,62
Seq_82,62
Seq_81,62
Seq_80,62
Seq_114,62
Seq_113,62
Seq_112,62
Seq_137,62
Seq_136,62
Seq_124,62
Seq_123,62
Seq_122,62
Seq_129,62
Seq_128,62
Seq_119,62
Seq_118,62
Seq_117,62
Seq_133,62
Seq_132,62
Seq_131,62
Seq_127,62
Seq_126,62
Seq_125,62
Seq_98,62
Seq_97,62
Seq_106,62
Seq_105,62
Seq_109,62
Seq_108,62
Seq_107,62
Seq_83,62
Seq_141,62
Seq_140,62
Seq_79,62
Seq_103,62
Seq_102,62
Seq_101,62
Seq_100,62
Seq_99,62
Seq_135,62
Seq_134,62
Seq_116,62
Seq_139,62
Seq_138,62
Seq_130,62
Seq_86,62
Seq_85,62
Seq_91,62
Seq_90,62
Seq_92,62
Seq_88,62
Seq_95,62
Seq_104,62
Seq_96,62
Seq_94,62
Seq_93,62
Seq_84,62
Seq_87,62
Seq_89,62
Seq_252,39
Seq_246,39
Seq_52,39
Seq_51,39
Seq_235,39
Seq_240,39
Seq_239,39
Seq_238,39
Seq_53,39
Seq_264,39
Seq_266,39
Seq_49,39
Seq_249,39
Seq_245,39
Seq_244,39
Seq_243,39
Seq_50,39
Seq_56,39
Seq_55,39
Seq_54,39
Seq_256,39
Seq_260,39
Seq_259,39
Seq_258,39
Seq_265,39
Seq_248,39
Seq_247,39
Seq_242,39
Seq_241,39
Seq_237,39
Seq_236,39
Seq_251,39
Seq_250,39
Seq_263,39
Seq_262,39
Seq_261,39
Seq_257,39
Seq_255,39
Seq_254,39
Seq_253,39
Seq_14,38
Seq_13,38
